2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3321.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3321.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3322ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3322.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3322.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3322.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3322.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3322.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3322.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3322.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3323.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3323.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3323.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3323.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3323.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3323.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3323.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3324ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3324.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3324.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3324.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3324.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3325.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3325.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3325.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3325.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3326.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3326.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3326.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3326.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3327.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3327.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3327.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3328.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3328.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3329.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3329.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch4 | 3329.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch1 | 3421.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch2 | 3421.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3421.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3421.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3421.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3422.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3422.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3422.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3422.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3422.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3422.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3422.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3423.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3423.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch4 | 3423.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch1 | 3445.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch2 | 3451.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3462.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3463ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3463.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3463.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3463.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3463.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3464.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3464.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3464.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3464.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3464.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3465ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3465.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3465.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3465.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3465.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch4 | 3465.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch1 | 3479.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch2 | 3490.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3496.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3497.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3497.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3497.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3497.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3497.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3498ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3498.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3498.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3498.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3498.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3498.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3498.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3499.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3499.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3499.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch4 | 3499.7ms,
2015-11-29 9:08:57::catalogm/::common/home::common/home | dispatch_end | 3848.5ms,
2015-11-29 9:08:57::catalogm/::common/home::common/home | end | 3848.8ms,
2015-11-29 9:09:32::catalogm/::common/home::common/home | start | 9.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch1 | 3080.3ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch2 | 3080.5ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3080.7ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3081.3ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3081.5ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3081.6ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3081.8ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3081.9ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3082.1ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3082.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3082.3ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3082.6ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3082.7ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3082.8ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3082.9ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3083.1ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3083.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3083.3ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3083.4ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3083.7ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3083.9ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3084.1ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3084.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3084.4ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3084.6ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3084.8ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3084.9ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3085.1ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3085.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3085.4ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3085.5ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3085.7ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3085.8ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3086ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3086.1ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3086.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3086.4ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3086.5ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3086.6ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3086.7ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3086.9ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3087ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch21 | 3087.1ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch22 | 3087.2ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch23 | 3087.3ms,
2015-11-29 9:09:35::catalogm/::common/home::common/home | ch24 | 3087.5ms,
